Datetime,Open,High,Low,Close,Volume
2025-08-21 00:00:00+00:00,869.05,883.86,866.11,866.21,60780.07
2025-08-21 04:00:00+00:00,866.21,866.59,858.03,862.48,43401.212
2025-08-21 08:00:00+00:00,862.48,864.34,849.02,851.24,73781.072
2025-08-21 12:00:00+00:00,851.24,856.88,841.1,841.85,51684.426
2025-08-21 16:00:00+00:00,841.84,844.68,834.52,836.4,28044.739
2025-08-21 20:00:00+00:00,836.4,842.83,833.46,839.49,20198.157
2025-08-22 00:00:00+00:00,839.49,853.34,839.23,845.69,35016.989
2025-08-22 04:00:00+00:00,845.7,854.45,845.66,851.02,28211.276
2025-08-22 08:00:00+00:00,851.02,855.18,844.24,848.99,41734.98
2025-08-22 12:00:00+00:00,849.0,882.0,842.7,876.22,158096.845
2025-08-22 16:00:00+00:00,876.22,898.54,876.22,894.6,108556.4899
2025-08-22 20:00:00+00:00,894.6,900.71,892.66,900.21,59225.9518
2025-08-23 00:00:00+00:00,900.2,900.21,875.71,882.78,52437.479
2025-08-23 04:00:00+00:00,882.77,893.23,882.57,887.32,32995.138
2025-08-23 08:00:00+00:00,887.33,897.11,884.3,888.41,46528.819
2025-08-23 12:00:00+00:00,888.42,894.12,885.32,888.64,28201.236
2025-08-23 16:00:00+00:00,888.64,889.77,879.1,883.38,23433.287
2025-08-23 20:00:00+00:00,883.37,883.93,875.55,880.42,25683.913
2025-08-24 00:00:00+00:00,880.42,886.66,874.51,878.64,43485.119
2025-08-24 04:00:00+00:00,878.64,882.22,870.24,870.36,35675.958
2025-08-24 08:00:00+00:00,870.36,872.06,860.49,861.5,45819.783
2025-08-24 12:00:00+00:00,861.49,872.37,860.0,867.43,43458.466
2025-08-24 16:00:00+00:00,867.43,883.46,859.34,869.52,76461.487
2025-08-24 20:00:00+00:00,869.51,880.24,860.35,876.51,44591.504
2025-08-25 00:00:00+00:00,876.51,880.75,865.73,876.2,38047.329
2025-08-25 04:00:00+00:00,876.2,880.0,857.0,858.54,57331.141
2025-08-25 08:00:00+00:00,858.53,864.0,850.58,854.52,45646.372
2025-08-25 12:00:00+00:00,854.53,871.72,854.0,863.52,55229.039
2025-08-25 16:00:00+00:00,863.52,870.25,853.08,853.88,37173.187
2025-08-25 20:00:00+00:00,853.88,857.5,832.76,839.32,87143.087
2025-08-26 00:00:00+00:00,839.32,849.71,829.59,844.58,61840.22
2025-08-26 04:00:00+00:00,844.58,847.7,839.16,842.73,26455.298
2025-08-26 08:00:00+00:00,842.72,845.1,839.39,841.7,18556.744
2025-08-26 12:00:00+00:00,841.7,853.84,839.0,849.67,48355.717
2025-08-26 16:00:00+00:00,849.67,861.13,849.25,860.72,22227.761
2025-08-26 20:00:00+00:00,860.72,868.0,859.83,863.7,17446.349
2025-08-27 00:00:00+00:00,863.7,864.5,857.35,862.13,21207.325
2025-08-27 04:00:00+00:00,862.14,866.84,856.4,857.32,18630.449
2025-08-27 08:00:00+00:00,857.33,860.0,852.9,859.31,19487.753
2025-08-27 12:00:00+00:00,859.31,866.0,856.08,864.83,29052.439
2025-08-27 16:00:00+00:00,864.83,867.1,858.5,860.71,16237.627
2025-08-27 20:00:00+00:00,860.71,865.86,854.02,855.18,30627.864
2025-08-28 00:00:00+00:00,855.18,865.0,850.85,864.32,36674.104
2025-08-28 04:00:00+00:00,864.32,872.81,862.91,869.25,31544.021
2025-08-28 08:00:00+00:00,869.25,874.37,865.25,874.27,26776.633
