rsi_period,entry,exit,stop,final,return_pct,trades,win_rate
8,50,65,0.01,1513.5348605879894,0.9023240391992982,42,45.23809523809524
8,45,65,0.01,1487.8343327933974,-0.8110444804401706,36,44.44444444444444
10,50,70,0.01,1482.3654486946102,-1.1756367536926549,36,33.33333333333333
10,45,70,0.01,1482.3347036401135,-1.17768642399243,34,32.35294117647059
8,45,60,0.01,1467.255124855413,-2.182991676305801,40,47.5
10,55,70,0.01,1464.6973817325793,-2.35350788449471,39,33.33333333333333
8,45,70,0.01,1462.1384431787897,-2.5241037880806894,36,38.88888888888889
8,50,70,0.01,1451.7002261621415,-3.2199849225238997,41,39.02439024390244
8,55,60,0.01,1450.228793845699,-3.318080410286728,53,50.943396226415096
8,50,60,0.01,1445.845099104176,-3.610326726388269,49,46.93877551020408
8,55,65,0.01,1438.3671967489379,-4.108853550070812,42,42.857142857142854
10,45,60,0.01,1436.9855882026316,-4.200960786491226,35,40.0
10,45,55,0.01,1436.5313830165308,-4.231241132231278,41,48.78048780487805
8,45,55,0.005,1424.7746796087388,-5.015021359417416,50,38.0
10,50,60,0.01,1419.7790870896952,-5.348060860686987,38,42.10526315789473
8,45,55,0.01,1415.9412436499615,-5.603917090002564,42,47.61904761904761
8,55,70,0.01,1394.1570657435007,-7.0561956170999585,41,36.58536585365854
10,55,60,0.01,1385.9528321307475,-7.603144524616834,43,44.18604651162791
10,50,55,0.01,1379.5195878630163,-8.032027475798909,49,48.97959183673469
10,50,65,0.01,1376.863751699501,-8.209083220033264,38,36.84210526315789
10,45,65,0.01,1376.8417000372401,-8.210553330850656,35,34.285714285714285
10,55,65,0.01,1370.5951187194576,-8.626992085369501,41,36.58536585365854
8,50,55,0.005,1368.4879737633114,-8.767468415779245,62,40.32258064516129
8,50,55,0.01,1343.7094752716246,-10.41936831522503,52,50.0
8,50,65,0.005,1273.97976178442,-15.068015881038676,54,33.33333333333333
10,50,70,0.005,1262.733062310915,-15.817795845938997,47,23.404255319148938
10,55,70,0.005,1257.6910552732365,-16.153929648450895,54,24.074074074074073
10,45,70,0.005,1252.0906526057622,-16.52728982628252,45,22.22222222222222
8,45,65,0.005,1240.4097389905744,-17.30601740062837,46,30.434782608695656
8,50,70,0.005,1237.4722717821016,-17.50184854785989,53,28.30188679245283
8,45,70,0.005,1224.4896649073355,-18.367355672844297,46,26.08695652173913
8,45,60,0.005,1219.8997500647217,-18.673349995685218,51,33.33333333333333
8,50,60,0.005,1214.4167304284701,-19.038884638101994,62,35.483870967741936
10,45,60,0.005,1208.393795395238,-19.440413640317466,46,28.26086956521739
10,50,60,0.005,1204.047498791069,-19.730166747262057,49,30.612244897959183
10,45,55,0.005,1190.5110152301502,-20.63259898465666,52,34.61538461538461
10,50,65,0.005,1188.5753489372637,-20.76164340418242,49,26.53061224489796
10,55,60,0.005,1179.7046563847039,-21.353022907686416,57,33.33333333333333
10,45,65,0.005,1178.5635144622977,-21.42909903584682,46,23.91304347826087
10,55,65,0.005,1176.8883065630735,-21.540779562461765,56,26.785714285714285
10,50,55,0.005,1168.9849366176456,-22.067670892156954,61,37.704918032786885
8,55,70,0.005,1164.9264133972433,-22.338239106850445,58,25.862068965517242
8,55,60,0.005,1155.631949305477,-22.957870046301533,70,35.714285714285715
8,55,65,0.005,1151.7149138545917,-23.21900574302722,59,28.8135593220339
