rsi_period,entry,exit,stop,final,return_pct,trades,win_rate
10,53,70,0.01,1057.8912729478525,-29.473915136809836,179,50.27932960893855
10,51,70,0.01,1052.8696917990042,-29.808687213399722,168,50.0
10,53,69,0.01,1050.8244008546676,-29.945039943022156,187,50.80213903743316
10,46,70,0.01,1039.6147096377845,-30.692352690814374,146,50.0
10,45,70,0.01,1038.0792087056575,-30.79471941962283,144,49.30555555555556
10,51,69,0.01,1035.9211178556666,-30.938592142955557,175,50.857142857142854
10,52,70,0.01,1028.5647767032115,-31.429014886452567,172,50.0
10,51,70,0.007,1026.2214762055119,-31.585234919632544,200,43.5
10,53,70,0.007,1025.633003358194,-31.624466442787067,212,44.339622641509436
10,53,69,0.007,1025.5599529818317,-31.629336467877888,220,45.45454545454545
10,46,69,0.01,1024.8889637513057,-31.67406908324628,151,50.331125827814574
10,51,69,0.007,1023.7155475124613,-31.75229683250258,207,44.44444444444444
10,45,69,0.01,1020.8214264170434,-31.945238238863773,147,49.65986394557823
10,50,70,0.01,1020.4582369708468,-31.969450868610217,162,49.382716049382715
10,52,69,0.01,1018.1553951866902,-32.12297365422066,179,50.27932960893855
10,49,70,0.01,1015.7528802917416,-32.28314131388389,154,49.35064935064935
10,48,70,0.01,1005.5440431089194,-32.96373045940537,151,49.00662251655629
10,49,69,0.01,1005.1464785193016,-32.9902347653799,161,50.31055900621118
10,47,70,0.01,1005.0217192293404,-32.9985520513773,147,48.29931972789115
10,50,70,0.007,1004.7797913751014,-33.014680574993235,195,42.56410256410256
10,50,69,0.01,1004.5311883228994,-33.03125411180671,169,50.29585798816568
10,54,70,0.01,1003.8362045879974,-33.07758636080017,183,49.18032786885246
10,50,69,0.007,1002.8251540772303,-33.14498972818465,202,43.56435643564357
10,54,69,0.01,997.7573318290401,-33.48284454473066,192,48.95833333333333
10,57,70,0.01,995.2094755404421,-33.652701630637196,196,48.46938775510204
8,46,69,0.01,994.0973971022378,-33.726840193184145,182,53.2967032967033
10,48,69,0.01,991.3008952203693,-33.91327365197539,156,50.0
10,47,69,0.01,990.7859698593461,-33.94760200937693,152,49.34210526315789
8,48,69,0.01,989.966312538508,-34.00224583076613,196,53.57142857142857
10,45,66,0.01,989.2877475203486,-34.04748349864343,160,52.5
10,57,69,0.01,989.1044747029548,-34.05970168646968,206,49.029126213592235
8,46,68,0.01,987.2167965378849,-34.18554689747434,189,53.43915343915344
10,49,69,0.007,987.00228585192,-34.199847609872,194,43.29896907216495
10,49,70,0.007,984.8853950453318,-34.34097366364455,187,42.24598930481284
8,46,70,0.01,983.3279504077094,-34.44480330615271,176,53.40909090909091
10,45,63,0.01,983.0313233676898,-34.464578442154014,184,53.80434782608695
8,48,70,0.01,980.5459757016728,-34.63026828655514,190,53.1578947368421
10,45,65,0.01,979.6418238226314,-34.69054507849124,166,51.80722891566265
10,53,68,0.01,979.0956021487623,-34.72695985674918,191,50.78534031413613
10,46,68,0.01,978.7973128617433,-34.746845809217106,153,50.326797385620914
10,53,70,0.005,977.6866708920301,-34.820888607198,252,37.301587301587304
10,46,67,0.01,976.4441930058621,-34.903720466275864,159,51.57232704402516
10,46,66,0.01,976.3846496071366,-34.9076900261909,164,53.04878048780488
10,45,68,0.01,976.2035222635496,-34.91976518243003,149,49.664429530201346
10,45,67,0.01,975.3251286082065,-34.9783247594529,155,50.967741935483865
8,48,68,0.01,974.8626147690585,-35.009159015396094,205,53.65853658536586
10,51,68,0.01,972.7677087123469,-35.14881941917687,178,50.56179775280899
10,55,70,0.01,971.95294860949,-35.20313675936734,189,48.67724867724868
8,45,69,0.01,971.6833691230166,-35.221108725132225,176,52.84090909090909
10,53,69,0.005,971.1640811594184,-35.25572792270544,261,38.31417624521073
10,56,69,0.01,969.0517364204624,-35.396550905302504,201,48.258706467661696
10,56,70,0.01,969.0293371032951,-35.398044193113655,191,48.167539267015705
10,54,70,0.007,968.7939780632265,-35.413734795784904,217,43.31797235023041
10,45,64,0.01,968.7051826609764,-35.41965448926824,172,51.162790697674424
8,45,68,0.01,968.3879034680531,-35.440806435463124,183,53.00546448087432
10,54,69,0.007,968.2298910147804,-35.45134059901465,226,44.24778761061947
10,46,65,0.01,966.7308802466922,-35.55127465022052,171,52.63157894736842
10,46,63,0.01,965.2022884796886,-35.65318076802077,190,54.736842105263165
8,46,67,0.01,965.0585866422321,-35.662760890517866,200,53.5
10,58,70,0.01,964.9304413376532,-35.67130391082313,202,48.51485148514851
10,55,69,0.01,963.9116517935058,-35.73922321376628,198,48.484848484848484
8,45,70,0.01,960.3742967256329,-35.975046884957806,170,52.94117647058824
10,46,64,0.01,958.3601023238534,-36.1093265117431,178,52.24719101123596
